SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,15,13,35,3,0,0,0,3.307,0,-1,-1,-1,0.15205,0.16759,0.19899,0
999,2,12,10,36,3,0,0,0,0.13699,0,-1,-1,-1,0.15534,0.17334,0.18991,0
999,3,47,40,42,3,1,2,1,0.27207,1,-1,-1,-1,0.17758,0.19348,0.2238,0
999,1,45,27,77,4,1,2,1,0.52267,1,-1,-1,-1,0.21013,0.22538,0.24131,0
999,2,88,65,76,4,1,0,1,0.55357,1,-1,-1,-1,0.16233,0.17954,0.19543,0
999,3,50,29,98,4,1,2,1,0.43197,1,-1,-1,-1,0.23399,0.2653,0.29746,0
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,18,10,47,3,0,1,0,1.3014,0,-1,-1,-1,0.17089,0.18598,0.20376,0
999,2,53,45,54,3,0,2,0,0.32385,0,-1,-1,-1,0.1388,0.15581,0.17097,0
999,3,18,15,36,3,0,0,0,0.26636,0,-1,-1,-1,0.13397,0.14929,0.16689,0
999,1,40,15,92,4,0,2,0,0.32538,0,-1,-1,-1,0.17623,0.19556,0.21115,0
999,2,20,17,36,4,0,1,0,0.22272,0,-1,-1,-1,0.17234,0.1908,0.20672,0
999,3,90,67,51,4,0,2,0,0.32352,0,-1,-1,-1,0.23885,0.25347,0.27128,0
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,27,10,74,3,1,0,0,0.38417,0,0.22253,0.24218,0.25691,-1,-1,-1,0
999,2,85,73,34,3,1,1,0,0.31076,0,0.21662,0.23826,0.254,-1,-1,-1,0
999,3,87,75,49,3,1,2,0,0.322,0,0.27204,0.28879,0.30473,-1,-1,-1,0
999,1,24,20,46,4,1,1,0,0.32257,0,0.28746,0.3023,0.31953,-1,-1,-1,0
999,2,15,13,18,4,0,1,1,0.27134,1,0.31213,0.32819,0.34371,-1,-1,-1,0
999,3,25,21,46,4,1,2,0,0.77665,0,0.33958,0.35402,0.37204,-1,-1,-1,0
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,95,82,43,3,1,2,0,0.50735,0,0.29627,0.31141,0.327,-1,-1,-1,0
999,2,40,34,47,3,1,1,0,0.37603,0,0.32273,0.34073,0.35706,-1,-1,-1,0
999,3,25,21,46,3,0,1,1,0.3393,1,0.37632,0.39378,0.40821,-1,-1,-1,0
999,1,45,38,35,4,1,0,0,0.33508,0,0.39039,0.40613,0.4369,-1,-1,-1,0
999,2,79,35,87,4,0,1,1,0.23431,1,0.38486,0.40174,0.41854,-1,-1,-1,0
999,3,36,30,23,4,1,1,0,1.0285,0,0.49571,0.51051,0.54266,-1,-1,-1,0
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,35,20,98,3,0,1,0,1.6194,0,-1,-1,-1,0.20636,0.22289,0.23902,0
999,2,62,45,59,3,0,0,0,0.1126,0,-1,-1,-1,0.22281,0.23901,0.25597,0
999,3,90,41,88,3,1,0,1,0.2697,1,-1,-1,-1,0.24848,0.26599,0.29796,0
999,1,88,65,76,4,1,2,1,0.52952,1,-1,-1,-1,0.23442,0.25083,0.26609,0
999,2,35,29,62,4,0,2,0,0.26045,0,-1,-1,-1,0.28859,0.30397,0.32065,0
999,3,50,24,83,4,1,0,1,0.30398,1,-1,-1,-1,0.3139,0.32889,0.34634,0
