SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,68,50,59,3,1,1,1,1.1448,0,0.99084,1.0054,1.0196,-1,-1,-1,0
999,2,30,21,57,3,0,2,0,0.44048,0,-1,-1,-1,0.5276,0.54674,0.56281,0
999,3,43,25,62,3,1,1,0,1.0866,1,-1,-1,-1,1.4363,1.4504,1.4666,0
999,4,81,70,48,3,0,2,0,0.44317,0,-1,-1,-1,1.1577,1.1728,1.1862,0
999,5,15,13,25,3,1,1,1,1.7629,1,-1,-1,-1,0.98728,1.0021,1.0212,0
999,1,41,35,38,4,1,1,1,0.45332,1,-1,-1,-1,0.81205,0.82743,0.84607,0
999,2,15,10,81,4,1,2,1,0.27117,0,0.54197,0.56279,0.57847,-1,-1,-1,0
999,3,75,47,95,4,0,0,0,0.25282,0,-1,-1,-1,0.3624,0.37896,0.39369,0
999,4,60,43,75,4,0,0,0,0.3394,0,-1,-1,-1,0.22903,0.24681,0.26632,0
999,5,48,35,76,4,1,0,1,0.29287,1,-1,-1,-1,0.18178,0.19723,0.21515,0
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,60,43,75,3,0,1,1,0.66839,1,0.33221,0.35281,0.36774,-1,-1,-1,0
999,2,58,50,20,3,0,0,0,0.2758,0,-1,-1,-1,0.16332,0.18308,0.19901,0
999,3,76,65,34,3,1,1,1,0.23929,1,-1,-1,-1,0.1445,0.16079,0.17669,0
999,1,60,49,89,4,0,0,1,0.26828,1,0.16413,0.18042,0.19673,-1,-1,-1,0
999,2,68,50,59,4,1,2,1,0.24156,1,-1,-1,-1,0.14028,0.15746,0.1719,0
999,3,51,25,83,4,1,1,1,0.25185,1,-1,-1,-1,0.15051,0.16443,0.18245,0
SN,Trial,LL,SS,DD,Condition,SS_Right,LL_Position,Chose1SS,RT1,Chose2SS,LeftRT1,LeftRT2,LeftRT3,RightRT1,RightRT2,RightRT3,doEye
999,1,22,15,61,3,1,0,0,0.74854,0,0.21448,0.24445,0.26128,-1,-1,-1,0
999,2,94,70,76,3,0,0,0,0.2442,0,-1,-1,-1,0.22176,0.23704,0.26985,0
999,3,95,71,97,3,0,1,1,0.55975,1,0.26521,0.28302,0.29786,-1,-1,-1,0
999,1,88,65,76,4,0,1,0,1.3302,0,-1,-1,-1,0.2843,0.31633,0.33362,0
